time,name,country,event,gender,year
2:23:15,Birhane Dibaba (Ethiopia),Ethiopia,marathon,female,2015
2:23:22,Tigist Tufa (Ethiopia),Ethiopia,marathon,female,2015
2:23:23,Yebrqual Melese (Ethiopia),Ethiopia,marathon,female,2015
2:23:26,Meseret Mengistu (Ethiopia),Ethiopia,marathon,female,2015
2:23:30,Amane Gobena (Ethiopia),Ethiopia,marathon,female,2015
2:23:32,Guteni Shone (Ethiopia),Ethiopia,marathon,female,2015
2:23:33,Abebech Afework (Ethiopia),Ethiopia,marathon,female,2015
2:23:33,Florence Kiplagat (Kenya),Kenya,marathon,female,2015
2:23:40,Mary Keitany (Kenya),Kenya,marathon,female,2015
2:23:41,Tirfe Tsegaye (Ethiopia),Ethiopia,marathon,female,2015
2:23:43,Ashete Bekele (Ethiopia),Ethiopia,marathon,female,2015
2:23:51,Biruktayit Degefa (Ethiopia),Ethiopia,marathon,female,2015
2:23:52,Korene Jelila (Ethiopia),Ethiopia,marathon,female,2015
2:24:03,Helah Kiprop (Kenya),Kenya,marathon,female,2015
2:24:07,Jeļena Prokopčuka (Latvia),Latvia,marathon,female,2015
2:24:11,Joyce Chepkirui (Kenya),Kenya,marathon,female,2015
2:24:16,Sharon Cherop (Kenya),Kenya,marathon,female,2015
2:24:16,Fatuma Sado (Ethiopia),Ethiopia,marathon,female,2015
2:24:23,Jemima Jelagat (Kenya),Kenya,marathon,female,2015
2:24:25,Kayoko Fukushi (Japan),Japan,marathon,female,2015
2:24:26,Tiki Gelana (Ethiopia),Ethiopia,marathon,female,2015
2:24:29,Bethlehem Moges (Ethiopia),Ethiopia,marathon,female,2015
2:24:33,Meseret Hailu (Ethiopia),Ethiopia,marathon,female,2015
2:24:38,Filomena Cheyech (Kenya),Kenya,marathon,female,2015
2:24:38,Sardana Trofimova (Russia),Russia,marathon,female,2015
2:24:42,Mai Ito (Japan),Japan,marathon,female,2015
2:24:44,Sultan Haydar (Turkey),Turkey,marathon,female,2015
2:24:44,Visiline Jepkesho (Kenya),Kenya,marathon,female,2015
01:57.7,Ajee’ Wilson (US),United States,800m,female,2014
01:57.7,Sahily Diago (Cuba),Cuba,800m,female,2014
01:57.9,Eunice Sum (Kenya),Kenya,800m,female,2014
01:58.1,Maryna Arzamasova (Belarus),Belarus,800m,female,2014
01:58.5,Yekaterina Poistogova (Russia),Russia,800m,female,2014
01:58.6,Winnie Nanyondo (Uganda),Uganda,800m,female,2014
01:58.7,Janeth Jepkosgei (Kenya),Kenya,800m,female,2014
01:58.7,Svetlana Karamasheva (Russia),Russia,800m,female,2014
01:58.8,Lynsey Sharp (Great Britain),Great Britain,800m,female,2014
01:58.8,Brenda Martinez (US),United States,800m,female,2014
01:59.0,Margarita Mukasheva (Kazakhstan),Kazakhstan,800m,female,2014
01:59.0,Laura Roesler (US),United States,800m,female,2014
01:59.2,Tintu Luka (India),India,800m,female,2014
01:59.2,Tigist Assefa (Ethiopia),Ethiopia,800m,female,2014
01:59.3,Molly Beckwith-Ludlow (US),United States,800m,female,2014
01:59.3,Jenny Meadows (Great Britain),Great Britain,800m,female,2014
01:59.5,Rose Almanza (Cuba),Cuba,800m,female,2014
,Jing Zhao (China),China,800m,female,2014
01:59.5,Agatha Kimaswai (Kenya),Kenya,800m,female,2014
01:59.5,Svetlana Rogozina (Russia),Russia,800m,female,2014
01:59.6,Joanna Jóźwik (Poland),Poland,800m,female,2014
01:59.7,Melissa Bishop (Canada),Canada,800m,female,2014
01:59.8,Chanelle Price (US),United States,800m,female,2014
01:59.8,Jessica Judd (Great Britain),Great Britain,800m,female,2014
01:59.9,Olga Lvova (Russia),Russia,800m,female,2014
01:59.9,Olha Lyakhova (Ukraine),Ukraine,800m,female,2014
01:59.9,Lenka Masná (Czech Republic),Czech Republic,800m,female,2014
02:00.0,Sifan Hassan (Holland),Holland,800m,female,2014
02:00.0,Maggie Vessey (US),United States,800m,female,2014
02:00.1,Renelle Lamote (France),France,800m,female,2014
02:00.1,Alison Leonard (Great Britain),Great Britain,800m,female,2014
02:00.1,Yekaterina Kupina (Russia),Russia,800m,female,2014
02:00.3,Natoya Goule (Jamaica),Jamaica,800m,female,2014
02:00.3,Morgan Uceny (US),United States,800m,female,2014
02:00.3,Angelika Cichocka (Poland),Poland,800m,female,2014
02:00.4,Justine Fedronic (France),France,800m,female,2014
02:00.5,Margaret Wambui (Kenya),k,800m,female,2014
02:00.5,Hannah England (Great Britain),Great Britain,800m,female,2014
02:00.5,Noélie Yarigo (Benin),Benin,800m,female,2014
02:00.6,Sanne Verstegen (Holland),Holland,800m,female,2014
03:55.2,Genzebe Dibaba (Ethiopia),Ethiopia,1500m,female,2014
03:57.0,Sifan Hassan (Holland),Holland,1500m,female,2014
03:57.1,Hellen Obiri (Kenya),Kenya,1500m,female,2014
03:57.2,Jenny Simpson (US),United States,1500m,female,2014
03:57.6,Abeba Aregawi (Sweden),Sweden,1500m,female,2014
03:58.0,Faith Kipyegon (Kenya),Kenya,1500m,female,2014
03:59.5,Shannon Rowbury (US),United States,1500m,female,2014
03:59.5,Dawit Seyaum (Ethiopia),Ethiopia,1500m,female,2014
04:00.1,Laura Muir (Great Britain),Great Britain,1500m,female,2014
04:00.1,Mimi Belete (Bahrain),Bahrain,1500m,female,2014
04:00.2,Laura Weightman (Great Britain),Great Britain,1500m,female,2014
04:00.5,Viola Kibiwot (Kenya),Kenya,1500m,female,2014
04:01.3,Meraf Bahta (Sweden),Sweden,1500m,female,2014
04:01.4,Brenda Martinez (US),United States,1500m,female,2014
04:01.5,Eunice Sum (Kenya),Kenya,1500m,female,2014
04:02.4,Axumawit Embaye (Ethiopia),Ethiopia,1500m,female,2014
04:02.7,Rabab Arrafi (Morocco),Morocco,1500m,female,2014
04:02.8,Gudaf Tsegay (Ethiopia),Ethiopia,1500m,female,2014
04:03.1,Luiza Gega (Albania),Albania,1500m,female,2014
04:04.0,Perine Nengampi (Kenya),Kenya,1500m,female,2014
04:04.1,Irene Jelagat (Kenya),Kenya,1500m,female,2014
04:04.1,Zoe Buckman (Australia),Australia,1500m,female,2014
04:04.1,Maryam Jamal (Bahrain),Bahrain,1500m,female,2014
04:04.1,Ingvill Måkestad Bovim (Norway),Norway,1500m,female,2014
04:04.2,Treniere Moser (US),United States,1500m,female,2014
04:04.5,Svetlana Karamasheva (Russia),Russia,1500m,female,2014
04:04.7,Nuria Fernández (Spain),Spain,1500m,female,2014
04:04.8,Morgan Uceny (US),United States,1500m,female,2014
04:04.9,Nicole Sifuentes (Canada),Canada,1500m,female,2014
04:04.9,Maureen Koster (Holland),Holland,1500m,female,2014
04:05.1,Nikki Hamblin (New Zealand),New Zealand,1500m,female,2014
04:05.2,Gabe Grunewald (US),United States,1500m,female,2014
04:05.2,Ann Mwangi (Kenya),Kenya,1500m,female,2014
04:05.3,Hannah England (Great Britain),Great Britain,1500m,female,2014
04:05.3,Emma Coburn (US),United States,1500m,female,2014
04:05.3,Federica Del Buono (Italy),Italy,1500m,female,2014
04:05.4,Kate Van Buskirk (Canada),Canada,1500m,female,2014
04:05.4,Renata Pliś (Poland),Poland,1500m,female,2014
04:05.5,Siham Hilali (Morocco),Morocco,1500m,female,2014
04:05.5,Anna Mishchenko (Ukraine),Ukraine,1500m,female,2014
09:10.6,Hiwot Ayalew (Ethiopia),Ethiopia,3000m Steeplechase,female,2014
09:11.4,Sofia Assefa (Ethiopia),Ethiopia,3000m Steeplechase,female,2014
09:11.4,Emma Coburn (US),United States,3000m Steeplechase,female,2014
09:15.2,Habiba Ghribi (Tunisia),Tunisia,3000m Steeplechase,female,2014
09:19.7,Etenesh Diro (Ethiopia),Ethiopia,3000m Steeplechase,female,2014
09:20.5,Ruth Chebet (Bahrain),Bahrain,3000m Steeplechase,female,2014
09:21.2,Salima Alami (Morocco),Morocco,3000m Steeplechase,female,2014
09:21.9,Milcah Chemos (Kenya),Kenya,3000m Steeplechase,female,2014
09:22.6,Hyven Jepkemoi (Kenya),Kenya,3000m Steeplechase,female,2014
09:23.4,Purity Kirui (Kenya),Kenya,3000m Steeplechase,female,2014
09:24.0,Charlotta Fougberg (Sweden),Sweden,3000m Steeplechase,female,2014
09:24.1,Lydia Chepkurui (Kenya),Kenya,3000m Steeplechase,female,2014
09:24.3,Stephanie Garcia (US),United States,3000m Steeplechase,female,2014
09:24.6,Nicole Bush (US),United States,3000m Steeplechase,female,2014
09:24.7,Sandra Eriksson (Finland),Finland,3000m Steeplechase,female,2014
09:27.3,Birtukan Adamu (Ethiopia),Ethiopia,3000m Steeplechase,female,2014
09:27.6,Ashley Higginson (US),United States,3000m Steeplechase,female,2014
09:28.0,Sviatlana Kudzelich (Belarus),Belarus,3000m Steeplechase,female,2014
09:28.4,Tigist Mekonen (Ethiopia),Ethiopia,3000m Steeplechase,female,2014
09:29.2,Amina Betiche (Algeria),Algeria,3000m Steeplechase,female,2014
09:29.4,Antje Möldner-Schmidt (Germany),Germany,3000m Steeplechase,female,2014
09:30.7,Diana Martín (Spain),Spain,3000m Steeplechase,female,2014
09:30.8,Birtukan Fente (Ethiopia),Ethiopia,3000m Steeplechase,female,2014
09:33.0,Natalya Aristarkhova (Russia),Russia,3000m Steeplechase,female,2014
09:33.2,Genevieve LaCaze (Australia),Australia,3000m Steeplechase,female,2014
09:33.3,Joan Rotich (Kenya),Kenya,3000m Steeplechase,female,2014
09:33.5,Jessica Furlan (Canada),Canada,3000m Steeplechase,female,2014
09:34.0,Madeleine Heiner (Australia),Australia,3000m Steeplechase,female,2014
09:34.1,Yekaterina Sokolenko (Russia),Russia,3000m Steeplechase,female,2014
